X,Y,Z
369674.8633,6333551.952,3446
371674.8633,6333551.952,3216
373674.8633,6333551.952,3403
375674.8633,6333551.952,3262
377674.8633,6333551.952,3409
387674.8633,6333551.952,4587
389674.8633,6333551.952,4341
391674.8633,6333551.952,4053
393674.8633,6333551.952,4467
395674.8633,6333551.952,3912
397674.8633,6333551.952,4161
399674.8633,6333551.952,4686
301674.8633,6331551.952,1356
303674.8633,6331551.952,695
305674.8633,6331551.952,638
307674.8633,6331551.952,795
309674.8633,6331551.952,1203
311674.8633,6331551.952,1850
313674.8633,6331551.952,1510
315674.8633,6331551.952,1095
317674.8633,6331551.952,1057
319674.8633,6331551.952,784
321674.8633,6331551.952,545
323674.8633,6331551.952,647
325674.8633,6331551.952,539
327674.8633,6331551.952,544
329674.8633,6331551.952,553
331674.8633,6331551.952,562
333674.8633,6331551.952,584
335674.8633,6331551.952,727
337674.8633,6331551.952,779
339674.8633,6331551.952,889
341674.8633,6331551.952,698
343674.8633,6331551.952,709
345674.8633,6331551.952,732
347674.8633,6331551.952,860
349674.8633,6331551.952,1204
351674.8633,6331551.952,1531
353674.8633,6331551.952,1908
355674.8633,6331551.952,2271
357674.8633,6331551.952,1735
359674.8633,6331551.952,1780
361674.8633,6331551.952,2019
363674.8633,6331551.952,2401
365674.8633,6331551.952,3432
367674.8633,6331551.952,3057
369674.8633,6331551.952,3334
371674.8633,6331551.952,3147
373674.8633,6331551.952,3541
375674.8633,6331551.952,3078
377674.8633,6331551.952,3241
379674.8633,6331551.952,3384
385674.8633,6331551.952,4732
387674.8633,6331551.952,4398
389674.8633,6331551.952,4132
391674.8633,6331551.952,3695
393674.8633,6331551.952,3790
395674.8633,6331551.952,3759
397674.8633,6331551.952,4088
399674.8633,6331551.952,5299
295674.8633,6329551.952,930
297674.8633,6329551.952,780
299674.8633,6329551.952,980
301674.8633,6329551.952,867
303674.8633,6329551.952,602
305674.8633,6329551.952,642
307674.8633,6329551.952,1014
309674.8633,6329551.952,1085
311674.8633,6329551.952,1542
313674.8633,6329551.952,1842
315674.8633,6329551.952,1552
317674.8633,6329551.952,1712
319674.8633,6329551.952,1226
321674.8633,6329551.952,626
323674.8633,6329551.952,528
325674.8633,6329551.952,531
327674.8633,6329551.952,546
329674.8633,6329551.952,570
331674.8633,6329551.952,729
333674.8633,6329551.952,597
335674.8633,6329551.952,916
337674.8633,6329551.952,783
339674.8633,6329551.952,887
341674.8633,6329551.952,939
343674.8633,6329551.952,713
345674.8633,6329551.952,732
347674.8633,6329551.952,798
349674.8633,6329551.952,1035
351674.8633,6329551.952,1376
353674.8633,6329551.952,1724
355674.8633,6329551.952,1667
357674.8633,6329551.952,1497
359674.8633,6329551.952,1841
361674.8633,6329551.952,2217
363674.8633,6329551.952,2873
365674.8633,6329551.952,3170
367674.8633,6329551.952,3173
369674.8633,6329551.952,3504
371674.8633,6329551.952,3337
373674.8633,6329551.952,3119
375674.8633,6329551.952,2881
377674.8633,6329551.952,3231
379674.8633,6329551.952,3873
381674.8633,6329551.952,4078
385674.8633,6329551.952,4213
387674.8633,6329551.952,4112
389674.8633,6329551.952,3962
391674.8633,6329551.952,3877
393674.8633,6329551.952,3434
395674.8633,6329551.952,3133
397674.8633,6329551.952,4230
399674.8633,6329551.952,5044
293674.8633,6327551.952,945
295674.8633,6327551.952,696
297674.8633,6327551.952,475
299674.8633,6327551.952,488
301674.8633,6327551.952,517
303674.8633,6327551.952,633
305674.8633,6327551.952,717
307674.8633,6327551.952,807
309674.8633,6327551.952,840
311674.8633,6327551.952,1204
313674.8633,6327551.952,2043
315674.8633,6327551.952,2084
317674.8633,6327551.952,1893
319674.8633,6327551.952,1575
321674.8633,6327551.952,940
323674.8633,6327551.952,526
325674.8633,6327551.952,527
327674.8633,6327551.952,568
329674.8633,6327551.952,636
331674.8633,6327551.952,631
333674.8633,6327551.952,600
335674.8633,6327551.952,915
337674.8633,6327551.952,732
339674.8633,6327551.952,754
341674.8633,6327551.952,593
343674.8633,6327551.952,622
345674.8633,6327551.952,662
347674.8633,6327551.952,716
349674.8633,6327551.952,1049
351674.8633,6327551.952,1156
353674.8633,6327551.952,1390
355674.8633,6327551.952,1224
357674.8633,6327551.952,1543
359674.8633,6327551.952,2022
361674.8633,6327551.952,2396
363674.8633,6327551.952,3125
365674.8633,6327551.952,2928
367674.8633,6327551.952,2875
369674.8633,6327551.952,3327
371674.8633,6327551.952,3055
373674.8633,6327551.952,2983
375674.8633,6327551.952,2841
377674.8633,6327551.952,3652
379674.8633,6327551.952,4122
381674.8633,6327551.952,4568
385674.8633,6327551.952,4537
387674.8633,6327551.952,4531
389674.8633,6327551.952,4548
391674.8633,6327551.952,4505
393674.8633,6327551.952,3648
395674.8633,6327551.952,2799
397674.8633,6327551.952,3942
399674.8633,6327551.952,4126
291674.8633,6325551.952,818
293674.8633,6325551.952,700
295674.8633,6325551.952,504
297674.8633,6325551.952,564
299674.8633,6325551.952,778
301674.8633,6325551.952,754
303674.8633,6325551.952,650
305674.8633,6325551.952,897
307674.8633,6325551.952,1271
309674.8633,6325551.952,1282
311674.8633,6325551.952,1595
313674.8633,6325551.952,2143
315674.8633,6325551.952,1412
317674.8633,6325551.952,1065
319674.8633,6325551.952,993
321674.8633,6325551.952,800
323674.8633,6325551.952,520
325674.8633,6325551.952,529
327674.8633,6325551.952,546
329674.8633,6325551.952,493
331674.8633,6325551.952,489
333674.8633,6325551.952,499
335674.8633,6325551.952,621
337674.8633,6325551.952,671
339674.8633,6325551.952,792
341674.8633,6325551.952,575
343674.8633,6325551.952,600
345674.8633,6325551.952,631
347674.8633,6325551.952,798
349674.8633,6325551.952,869
351674.8633,6325551.952,873
353674.8633,6325551.952,1176
355674.8633,6325551.952,1210
357674.8633,6325551.952,1737
359674.8633,6325551.952,2022
361674.8633,6325551.952,2539
363674.8633,6325551.952,2868
365674.8633,6325551.952,2490
367674.8633,6325551.952,2491
369674.8633,6325551.952,3119
371674.8633,6325551.952,2952
373674.8633,6325551.952,3166
375674.8633,6325551.952,2875
377674.8633,6325551.952,3492
379674.8633,6325551.952,4000
381674.8633,6325551.952,3715
383674.8633,6325551.952,4376
385674.8633,6325551.952,4611
387674.8633,6325551.952,5058
389674.8633,6325551.952,4012
391674.8633,6325551.952,3937
393674.8633,6325551.952,4413
395674.8633,6325551.952,3111
397674.8633,6325551.952,3486
399674.8633,6325551.952,4137
291674.8633,6323551.952,774
293674.8633,6323551.952,660
295674.8633,6323551.952,578
297674.8633,6323551.952,539
299674.8633,6323551.952,482
301674.8633,6323551.952,918
303674.8633,6323551.952,983
305674.8633,6323551.952,936
307674.8633,6323551.952,1578
309674.8633,6323551.952,1782
311674.8633,6323551.952,1703
313674.8633,6323551.952,1960
315674.8633,6323551.952,1223
317674.8633,6323551.952,915
319674.8633,6323551.952,670
321674.8633,6323551.952,516
323674.8633,6323551.952,927
325674.8633,6323551.952,683
327674.8633,6323551.952,559
329674.8633,6323551.952,486
331674.8633,6323551.952,493
333674.8633,6323551.952,499
335674.8633,6323551.952,507
337674.8633,6323551.952,559
339674.8633,6323551.952,547
341674.8633,6323551.952,561
343674.8633,6323551.952,580
345674.8633,6323551.952,590
347674.8633,6323551.952,858
349674.8633,6323551.952,1113
351674.8633,6323551.952,1294
353674.8633,6323551.952,1476
355674.8633,6323551.952,1545
357674.8633,6323551.952,2024
359674.8633,6323551.952,2368
361674.8633,6323551.952,2714
363674.8633,6323551.952,2717
